"","site_name","site","day","latest_temperature","lon","lat"
"80","Camden Kerbside","ca1","2016-07-02",14.6,"-0.175269","51.54421"
"81","Camden Kerbside","ca1","2016-07-03",15.45,"-0.175269","51.54421"
"82","Camden Kerbside","ca1","2016-07-04",19.6,"-0.175269","51.54421"
"83","Camden Kerbside","ca1","2016-07-05",22.3,"-0.175269","51.54421"
"84","Camden Kerbside","ca1",NA,17.2,"-0.175269","51.54421"
"85","Cardiff Centre","card","2016-06-30",15.3,"-3.17625","51.48178"
"86","Cardiff Centre","card","2016-07-01",13.7,"-3.17625","51.48178"
"87","Cardiff Centre","card","2016-07-02",14.05,"-3.17625","51.48178"
"88","Cardiff Centre","card","2016-07-03",13.95,"-3.17625","51.48178"
"89","Cardiff Centre","card","2016-07-04",16.5,"-3.17625","51.48178"
"90","Cardiff Centre","card","2016-07-05",21.4,"-3.17625","51.48178"
"91","Cardiff Centre","card",NA,15,"-3.17625","51.48178"
"92","Carlisle Roadside","carl","2016-06-30",10.55,"-2.945307","54.894834"
"93","Carlisle Roadside","carl","2016-07-01",8.85,"-2.945307","54.894834"
"94","Carlisle Roadside","carl","2016-07-02",11.4,"-2.945307","54.894834"
"95","Carlisle Roadside","carl","2016-07-03",12.3,"-2.945307","54.894834"
"96","Carlisle Roadside","carl","2016-07-04",11.45,"-2.945307","54.894834"
"97","Carlisle Roadside","carl","2016-07-05",16.75,"-2.945307","54.894834"
"98","Carlisle Roadside","carl",NA,11.9,"-2.945307","54.894834"
"99","Chatham Roadside","chat","2016-06-30",16.6,"0.54797","51.374264"
"100","Chatham Roadside","chat","2016-07-01",12.4,"0.54797","51.374264"
"101","Chatham Roadside","chat","2016-07-02",13.2,"0.54797","51.374264"
"102","Chatham Roadside","chat","2016-07-03",13.7,"0.54797","51.374264"
"103","Chatham Roadside","chat","2016-07-04",16.65,"0.54797","51.374264"
"104","Chatham Roadside","chat","2016-07-05",22.2,"0.54797","51.374264"
"105","Chatham Roadside","chat",NA,16.5,"0.54797","51.374264"
"106","Chepstow A48","chp","2016-06-30",16.15,"-2.678731","51.638094"
"107","Chepstow A48","chp","2016-07-01",12.45,"-2.678731","51.638094"
"108","Chepstow A48","chp","2016-07-02",13.5,"-2.678731","51.638094"
"109","Chepstow A48","chp","2016-07-03",13.95,"-2.678731","51.638094"
"110","Chepstow A48","chp","2016-07-04",17.3,"-2.678731","51.638094"
"111","Chepstow A48","chp","2016-07-05",26.15,"-2.678731","51.638094"
"112","Chepstow A48","chp",NA,16.25,"-2.678731","51.638094"
"113","Chesterfield Loundsley Green","chlg","2016-06-30",12.2,"-1.454946","53.244131"
"114","Chesterfield Loundsley Green","chlg","2016-07-01",7.7,"-1.454946","53.244131"
"115","Chesterfield Loundsley Green","chlg","2016-07-02",9.1,"-1.454946","53.244131"
"116","Chesterfield Loundsley Green","chlg","2016-07-03",7.1,"-1.454946","53.244131"
